CustomerID,FirstName,LastName,Email,AddressLine1,AddressLine2,City,State,Zip,FavoriteColor,FavoriteQuote,VehicleVIN,VehicleMake,VehicleModel,VehicleYear,VehicleColor,CurrentMonthlyPremiumCents
"007578482936","Bruce","Warren","tGardner@Camimbo.net","4158 Troy Alley","","Los Banos","CT","6452077","Teal","et et quisquam sapiente repellat architecto voluptatem error!","1FAVCRP70U2JT7S91","Chrysler","300","2012","Indigo","7086"
"608010695737","Adam","Adams","AlanAlvarez@Livetube.net","8437 Crownhardt Pass","","Ross","ME","3220008","Puce","aliquam eligendi ea qui qui enim.","J7PMPM9WG7FPWEFFP","Volkswagen","Golf","2020","Aquamarine","10437"
"472910364438","Harry","Owens","ut_ipsam_est@Mita.gov","4977 8th Crossing","","El Centro","SD","6862977","Purple","harum nostrum quia voluptate.","D7H5HADNGM20645BN","Volkswagen","Tiguan","2017","Blue","27306"
"789010161739","Edward","Bowman","GeraldWashington@Flipstorm.net","5554 Shasta Plaza","","Belmont","CT","3217940","Orange","in veniam asperiores et nostrum et molestiae tempora dolore.","WZX1C20SE29CC07TX","Hyundai","Elantra","1995","Yellow","10845"
"205403113040","Donna","Rose","tRyan@Camimbo.info","1400 Dexter Lane","","Yreka","CT","9166016","Orange","sed et esse nesciunt.","FLLB153ANJBVS6GZE","Toyota","86","2000","Fuscia","18756"
"010221433941","Denise","Ramos","RubyWells@Flashdog.org","232 Michigan Parkway","","La Mirada","NM","0136060","Khaki","aut suscipit aut eius.","JNB1FMMNAMRD6EW7U","Mazda","CX-9","2016","Crimson","17403"
"914499591542","Nancy","Price","4George@Dabshots.com","1638 Bluestem Street","","Chino","IN","0395132","Turquoise","consequuntur fuga id nostrum et!","UUEU91P0BDYFBPNCK","Honda","Pilot","2013","Puce","13269"
"352294124143","Lori","Richards","et_veniam@Edgeclub.net","2749 Glacier Hill Court","","Palmdale","DE","5408157","Maroon","quaerat blanditiis iure est eligendi perferendis tenetur non.","V8U0EN81SWV1ALDE1","Lincoln","Continental","2017","Aquamarine","31613"
"483454523144","Sarah","Lee","occaecati_id_incidunt@Blogpad.name","5014 Mariners Cove Parkway","","Oceanside","MA","3153556","Aquamarine","quod porro nisi esse quia sint.","9K6WE3GV8RMP844E9","Hyundai","Santa Fe","2018","Aquamarine","35439"
"697331387045","Tammy","Morris","fugiat_et_itaque@Topicware.biz","9542 Bobwhite Junction","","Bell Gardens","NC","1530415","Goldenrod","dolorem earum perspiciatis neque possimus nam repudiandae!","T6JWNK1RWDSTZZM45","Mercedes-Benz","GLE","2022","Fuscia","22804"
"324080133146","Ralph","Smith","ElizabethAnderson@Voonte.mil","4293 Declaration Parkway","","Buena Park","RI","6258834","Goldenrod","maiores eos enim qui.","LE3DMJUCH5DK1RX21","Ford","Focus","2016","Turquoise","28467"
"812629938147","Jessica","Little","2Ramos@Wikizz.biz","7985 Merchant Crossing","","Livingston","AZ","6550394","Pink","rerum id et et libero!","9Y23BM2RX4SXPC71V","Dodge","Challenger","1994","Turquoise","25567"
"304768778948","Carl","Davis","GaryHunter@Flipbug.gov","4346 Anniversary Terrace","","San Fernando","MO","8065884","Yellow","maxime possimus quia.","M6589EWSAKSN7PACP","Chevrolet","Bolt","2001","Fuscia","26019"
"041066487449","Paula","Butler","sit_ea@Trunyx.net","4927 Burrows Lane","","Paramount","MD","4654224","Fuscia","et hic eius beatae voluptas.","DB5DV02XKFT83N0HC","Ford","Focus","1994","Red","9349"
"202323247350","Elizabeth","Morales","sunt@Youopia.org","4499 Norway Maple Court","","Tiburon","MI","6992145","Crimson","vitae nesciunt incidunt impedit consequatur molestiae et asperiores.","6YLH413SWT42RUYU8","Ford","Escape","2019","Yellow","26705"
"705313061151","Jeffrey","Henderson","sit@Abatz.net","9963 Pine View Terrace","","Santa Paula","WV","3292905","Orange","incidunt sint voluptatem repellat aliquam veritatis quo sit.","BE5W82EU910Z00W2M","Buick","LaCrosse","2003","Indigo","9452"
"152012991552","Brandon","West","DebraRichardson@Oozz.com","6303 Vahlen Road","","Willows","SC","5210073","Aquamarine","et eius laborum quo in rerum et facilis dolores similique.","BFWMABP28D1V9S4ZF","Jeep","Compass","2023","Goldenrod","26880"
"072230060353","Jeremy","Stanley","zRyan@Quimba.name","4419 Stephen Court","","Nevada City","MI","8236011","Green","incidunt libero delectus temporibus laboriosam.","H6X5YRULTDCYLM7AD","Volvo","XC90","2011","Puce","15549"
"366980050954","Paul","Perry","JackOlson@Kwimbee.edu","1839 New Castle Hill","","Pleasanton","NV","0478271","Fuscia","dignissimos et quisquam sunt quidem tempora voluptatem.","4CTJV2L36JXFJ9WJ7","Ram","2500","2021","Teal","8632"
"901291713255","Joe","Riley","JaniceWashington@Mynte.info","2797 American Road","","Dixon","TN","6289173","Goldenrod","nobis debitis maxime et et.","CJUCSA74RF4W12Z39","Tesla","Roadster","2003","Indigo","15473"
"962087746656","Jane","Dunn","yHart@Yotz.info","1303 Aberg Place","","Soledad","TX","5880100","Teal","vel accusantium fugit quia doloremque neque sint.","295KVAX613XB68JC5","Lincoln","MKC","2017","Yellow","27461"
"160970424857","Robert","Sanchez","bKnight@Fivebridge.gov","7873 Charing Cross Center","","Hercules","NM","4155172","Aquamarine","laboriosam repudiandae est magnam.","XV262ZWZ9SBW3DM3K","Hyundai","Tucson","1996","Aquamarine","32667"
"505401035258","Roger","Collins","0Jenkins@Topicware.name","7901 Logan Road","","Pacific Grove","WY","9777798","Khaki","similique ipsum et qui!","YCAH3TEA7AJW1KCWW","Hyundai","Sonata","1998","Yellow","33205"
"233628086759","Stephanie","Sims","MariaDean@Topdrive.gov","5781 Sutherland Drive","","Atascadero","LA","2151439","Purple","incidunt at est aut occaecati.","CE3FR1T5H907L9FB5","Ford","Fiesta","1998","Indigo","25235"
"042656133760","Emily","Stewart","JohnnyWagner@Gabvine.info","2767 Sachs Parkway","","Atwater","ME","1636371","Pink","et aliquam omnis vitae cum.","774SD7H8PTDFUFXNJ","Buick","Encore","2018","Mauv","23998"
"840203441861","Gerald","Ford","CharlesMurphy@Einti.gov","1825 Nobel Parkway","","Carlsbad","NY","0661914","Yellow","quasi eos nam ut dolorem est cupiditate.","ZDLRMK24JAGYYCCL4","Nissan","Armada","2005","Turquoise","35499"
"974354356362","Joyce","Jones","6Perkins@Mynte.mil","1632 Grayhawk Place","","Clearlake","WI","1865425","Blue","ducimus odit doloremque error assumenda corrupti!","BFENZFB0BATUE87MU","GMC","Terrain","1993","Puce","21357"
"876693985063","Jerry","Morrison","BettyFlores@Kazio.gov","7272 Debra Junction","","Windsor","MN","4634839","Goldenrod","quod dolorem laborum illum deserunt quo odit.","VU3CG89WYPF3PH4WF","Mercedes-Benz","E-Class","2021","Fuscia","16106"
"324394980264","Jane","Stewart","ex@Buzzster.info","653 Ramsey Place","","Montebello","NV","0253162","Fuscia","maxime rerum quis numquam assumenda.","7FUV63YT5B9MPJ80P","Jeep","Cherokee","1997","Turquoise","24385"
"779208178965","Arthur","Jordan","lHarrison@Camimbo.net","4608 Elka Terrace","","Tulare","AL","1549521","Fuscia","consequatur est saepe aut fuga.","M98DZGMV8ZS1216U6","Volvo","V60","2000","Blue","31607"
"054178224966","Clarence","Armstrong","totam_dolorem_quos@Flashdog.com","3243 Huxley Drive","","Portola","ND","5464411","Blue","eum molestiae quos vel magni consequatur.","8VJU7K8U939B24VJX","Buick","Enclave","2001","Pink","32924"
"120647151367","Terry","Cooper","SharonFlores@Zoovu.name","7769 Elgar Terrace","","Firebaugh","MD","9128243","Khaki","sed ipsa optio porro aut perspiciatis.","NF8W8S3P6H2LPKJUD","Dodge","Dart","2020","Yellow","30613"
"360054479068","Jane","James","iFerguson@Flashpoint.gov","2433 Warbler Alley","","Chula Vista","ME","4786770","Fuscia","voluptate voluptatem officia assumenda id suscipit molestias!","8K4DP0L4YUEX6WUSP","Lincoln","MKC","2011","Red","22773"
"486710763869","Sean","Nichols","vAlvarez@Oyonder.gov","5296 Linden Avenue","","Hillsborough","NE","1697356","Pink","quos aut autem sit dolor nihil praesentium recusandae eos.","LM7SWMKPBYPJP6Z86","Chrysler","Pacifica","2004","Purple","30896"
"767167844070","Anne","Jenkins","AnneWest@Roodel.com","5073 Gale Center","","Fontana","IL","9412150","Pink","quisquam sed id ut est nam qui magnam similique.","7UHURN4LY6HBZJG45","Nissan","Juke","2012","Fuscia","17392"
"475664559571","Jacqueline","Clark","SandraJenkins@Quamba.edu","5165 Heath Drive","","Stanton","NJ","7988532","Mauv","sed dolor culpa.","B4JGTTRR5TUHNWWSN","Volvo","S60","2015","Turquoise","14180"
"996871417572","Marie","Howard","PatriciaSanchez@Thoughtbridge.info","9399 Hanson Center","","Dos Palos","NM","1598983","Goldenrod","enim magni id et et.","4CF5Y0G0B8AU1NEB3","Honda","Crosstour","2001","Yellow","11562"
"111041661373","Carlos","Ford","JackAnderson@Voonix.edu","5907 Red Cloud Alley","","Irvine","MT","8491858","Pink","quasi nemo eaque laudantium maxime dolores doloremque praesentium voluptatem possimus consequatur.","D2JWX0SZCGLHYW4BB","Cadillac","XT5","2010","Red","22465"
"030904467874","Benjamin","Cunningham","aSimmons@Topicware.gov","3443 Ohio Drive","","Woodland","WV","7859682","Turquoise","qui ipsa rerum!","F899MBZHB4EWJFHB8","Toyota","86","2004","Mauv","22579"
"223436644075","Wayne","Evans","JackKing@Camido.info","6353 Sauthoff Park","","Villa Park","MS","6141861","Fuscia","autem minima quaerat accusantium atque.","ET16TUW5PVUH988TR","Nissan","Frontier","2022","Puce","10748"
"105080672776","Beverly","Stevens","zCooper@Twinder.gov","3936 Moland Terrace","","East Palo Alto","MA","6257076","Fuscia","nulla debitis explicabo impedit rem adipisci asperiores.","YYDZG041ML6EYKZNX","Honda","HR-V","2018","Indigo","16299"
"821410989177","Wayne","Edwards","ClarenceHughes@Yodoo.edu","723 Porter Circle","","Santa Ana","LA","2459549","Khaki","itaque temporibus architecto odio autem porro.","CM1A0V6BVYHAYXY4J","Toyota","Corolla","2017","Teal","6618"
"104390573878","Dorothy","Harrison","aliquam_velit@Kanoodle.info","6681 Blaine Alley","","Montague","MO","1160337","Teal","a non omnis quam repellat et.","SP2BZE8A27VP3GKZ4","Kia","Optima","2001","Teal","31647"
"331337404979","Angela","Mcdonald","nHoward@Trudeo.edu","6155 Fordem Hill","","Pacific Grove","CT","6765681","Teal","debitis sed voluptas ut error sit adipisci rerum.","UBMV9B4KB6Y5ZX42K","Lincoln","MKZ","2016","Crimson","14366"
"924943172580","Harold","Carroll","wLane@Buzzbean.gov","6689 Nevada Terrace","","Pomona","UT","4709940","Orange","aut aut vel quidem et est.","TAGYPHCS6G3KLN480","Buick","Envision","2023","Violet","13380"
"230151510581","Cynthia","Miller","deserunt@Buzzdog.com","4106 Lerdahl Road","","Yorba Linda","DE","8894210","Violet","doloremque voluptatum non maxime eligendi dignissimos ducimus molestiae consequatur libero.","36DPC1VJXMRLBTAPT","Nissan","Frontier","2007","Purple","7470"
"383247074182","Kathy","Matthews","WandaPerry@Wikivu.mil","25 Swallow Avenue","","Novato","LA","7659066","Turquoise","quod amet optio.","GT3EM6B3PV85VHBU0","Jeep","Renegade","2015","Orange","8271"
"756164973183","Nancy","Perry","AdamMartinez@Youtags.name","8847 Veith Park","","Rosemead","WY","0024897","Maroon","harum ea voluptatem libero eveniet odio inventore.","YDBVBP94VM2KV4MK0","BMW","X4","2023","Teal","27463"
"305068324184","Cynthia","Ford","odio_magnam@Centimia.biz","8386 Clove Crossing","","Ross","GA","2132008","Blue","qui consequatur hic reiciendis sapiente animi!","5FAU0XD68PVJK06BH","Volkswagen","Beetle","2004","Turquoise","9743"
"123035787185","Jack","Johnson","mMedina@Jaloo.com","65 Division Hill","","City of Industry","IN","6308132","Aquamarine","ad veritatis ipsam blanditiis labore earum numquam.","AWBDV4H48LH2K2KE9","Tesla","Model X","1996","Orange","34439"
"580313000086","Jonathan","Lee","mNguyen@Wikivu.edu","5389 Morrow Trail","","Colton","RI","1926727","Purple","provident quia molestiae.","D8MTRXZPPBPYJYN8R","Nissan","Armada","2009","Mauv","23016"
"042444762087","Deborah","Howell","KathleenJones@Skyble.gov","343 Forest Park","","Monte Sereno","KS","0444237","Pink","ut commodi provident qui voluptatibus.","RPD20N4TUYEDX9BLY","Volkswagen","Atlas","2008","Khaki","32606"
"830289458488","Kathy","Taylor","8Coleman@Gigabox.edu","7999 2nd Street","","San Fernando","NC","9949667","Puce","aperiam quaerat quisquam ea est debitis dolor dolore blanditiis porro voluptatem.","F8S7LYECP2ESPHDCV","Jeep","Compass","2010","Green","15860"
"042340271789","Nicholas","Arnold","tJohnston@Topdrive.edu","1046 Merrick Pass","","Perris","MD","8189818","Yellow","vel voluptates voluptatibus pariatur possimus.","0RU416VU210WU7GE8","GMC","Sierra","2005","Red","18599"
"472149584190","Lisa","Price","KathrynCooper@Twitternation.org","2518 Vera Road","","Auburn","NV","1382856","Green","quos et non molestias laudantium vel ratione earum enim doloremque molestiae.","0DMV3XSMAVEMAG0JW","Toyota","Tacoma","2001","Crimson","34084"
"218099456391","Antonio","Watkins","3Gomez@Blogtags.name","9815 Lien Hill","","Oakland","KS","3971121","Maroon","animi dolorem nobis alias.","6B2RBEKKT08W83C8N","Honda","Insight","2004","Violet","6985"
"216107787192","Johnny","Reed","autem_veniam@Jetwire.mil","1194 Pierstorff Alley","","Dorris","MN","1485336","Aquamarine","qui nulla ut aliquam maxime minima.","YN42K609U8NM1RLVR","Cadillac","CTS","2014","Fuscia","22593"
"232689534193","Randy","Gomez","praesentium@Dynabox.edu","2396 Goodland Pass","","Fortuna","AK","9184286","Fuscia","corrupti similique suscipit rerum sequi.","L6M1KAF1G3R4VLUK7","GMC","Terrain","2005","Mauv","32440"
"190923426894","Nancy","Olson","AntonioJames@Yodoo.org","2090 Grover Court","","Porterville","DE","0542636","Teal","et velit repellendus aliquam consequatur voluptatem.","AHC51W4FPNSLGLFCY","Cadillac","XT5","1995","Red","20523"
"455359426595","Donald","Howell","recusandae_voluptas_omnis@Skaboo.org","8848 Meadow Valley Parkway","","City of Commerce","TX","8684328","Red","saepe qui natus odit libero autem impedit doloribus.","2J91WZK70788R077G","Honda","CR-V","2004","Green","11473"
"976003541396","Jean","Jackson","AnneReid@Twiyo.org","5809 Algoma Court","","Fort Bragg","VT","4613821","Blue","ipsam rerum soluta iste.","49LJDEFMV7R5CW2TF","Mazda","CX-5","2005","Crimson","17086"
"940663093397","Shawn","Snyder","yMcdonald@Wikivu.net","8558 High Crossing Crossing","","Portola Valley","NE","3591074","Orange","enim quo nobis distinctio earum sint sed.","AUZTK090LJ2CETWBJ","Buick","Encore","1995","Green","23593"
"165220769498","James","Ferguson","id_fugit@Topiclounge.org","7088 Kings Way","","Emeryville","IA","1886634","Pink","enim repellendus libero omnis architecto suscipit porro.","GM51DUT1X468H8PX6","Jeep","Compass","2007","Crimson","11954"
"210740628699","Heather","Bishop","voluptatum_doloremque_sequi@Kwideo.biz","5249 Autumn Leaf Street","","Woodside","NH","9704595","Pink","qui et est expedita.","W1ADUJYW6NMH22UEC","Volvo","XC40","2010","Crimson","23687"
"8865509260100","Christopher","Howell","MelissaBrooks@Topiclounge.org","2574 Fulton Park","","Claremont","OH","1278624","Indigo","cumque in beatae deserunt nostrum non.","974WSB8KMG4AS11XC","Chevrolet","Traverse","2023","Green","19689"
"1663661234101","Christine","Medina","vitae_ea@Meevee.info","9710 Village Green Trail","","Patterson","KY","5252629","Green","et aut excepturi id!","WBN53YPMZXDE4WE9K","Ram","2500","1996","Mauv","26687"
"4077852896102","Joan","Carpenter","SandraGordon@Cogilith.name","2313 Barby Avenue","","South Pasadena","OK","5343739","Yellow","eum dolores velit impedit nostrum ratione voluptate!","JJN2R489MJXRYGTV7","Hyundai","Ioniq","2002","Yellow","23075"
"8647173369103","Daniel","Sullivan","RyanJames@Jabbertype.com","324 Mccormick Center","","La Mesa","ND","6044013","Blue","expedita saepe itaque voluptatem et est pariatur vel.","AN960F1SRRZ3VV9FE","Chrysler","300","2022","Blue","29745"
"9121310712104","Beverly","Simpson","quis_et_maiores@Vipe.net","941 Gateway Pass","","Red Bluff","IA","3422818","Pink","quidem consequatur est ab!","8JWJ7HAFMFH5EW3NT","Buick","Enclave","2012","Orange","24270"
"6467640744105","Gregory","Diaz","DouglasTorres@Wikibox.com","930 Elka Place","","Los Altos","NY","6736376","Fuscia","delectus doloribus accusamus et quis sunt quaerat doloribus atque quis.","BMJ2R5NVZNK5ZEF51","BMW","X6","2022","Fuscia","20701"
"9706559008106","Patricia","Kennedy","yFernandez@Voomm.info","2521 Becker Street","","Vista","AR","9833243","Maroon","architecto magni quia exercitationem est.","LFNUTNB0YDP2SRATG","Mercedes-Benz","GLE","2009","Goldenrod","34246"
"2074119134107","Arthur","Marshall","SeanHayes@Devcast.edu","4068 Sherman Terrace","","Tracy","IA","0052263","Teal","ducimus tenetur occaecati rerum id vitae.","DTBK954LHDV42JK18","Tesla","Model 3","2019","Green","23408"
"9544184559108","Dorothy","Robinson","error_aut@Skyvu.edu","9455 Spenser Center","","Los Altos","MD","9107090","Violet","voluptatum eum provident.","PEKBYJYBYA65W2TJS","Tesla","Roadster","2002","Puce","14858"
"3784867560109","Christina","Ross","AshleyStewart@Aimbo.biz","9842 Anzinger Street","","Red Bluff","NH","6090830","Teal","aut omnis et dolor deleniti officia repudiandae voluptatem.","K683S4K3YTBTG32TA","Nissan","Armada","2000","Crimson","32987"
"2435509552110","Peter","Carter","et_voluptatem@Mydo.info","5575 Daystar Plaza","","San Francisco","WY","8665868","Purple","et quo esse qui consectetur optio voluptatibus excepturi eveniet.","PH9UEJ7MC4C6PELSH","Kia","Sedona","2018","Yellow","30211"
"2913408387111","Rebecca","Matthews","at@Topdrive.gov","8624 Milwaukee Crossing","","Palo Alto","AR","3833918","Pink","et facilis reprehenderit consequatur amet.","H3U6PVHU572RU2RHS","Toyota","Sequoia","1998","Maroon","26548"
"1514590514112","Catherine","Anderson","GeraldBailey@Shufflebeat.com","2092 Bobwhite Terrace","","Redwood City","ND","2853238","Aquamarine","dolore rerum labore et voluptas ab autem dolore omnis.","7XN44PUG76HKMNURT","Dodge","Dart","1994","Purple","12360"
"5679133135113","Keith","Butler","PamelaWashington@Miboo.biz","2817 Hermina Park","","Downey","SD","7218489","Aquamarine","consequatur molestias quae quod perspiciatis vitae rerum ipsa.","H13S3JG7FZRBYBH6S","Kia","Soul","2011","Goldenrod","12774"
"2469746743114","Tammy","Stone","jColeman@Kare.org","6539 Oxford Court","","Susanville","IN","4225977","Fuscia","ut recusandae odit necessitatibus autem quisquam.","5PH8K0Y6HYYEN8MGK","Nissan","Kicks","2002","Aquamarine","34446"
"1266466619115","Deborah","Hansen","blanditiis_perspiciatis_et@Gabtype.gov","4157 Hoffman Junction","","Sanger","TX","5735499","Crimson","sint est similique libero iusto.","5AC0RUWL9FGNMPJMX","Audi","A7","2007","Yellow","14393"
